state,x,y
Andhra Pradesh,-140,-190
Arunachal Pradesh,250,200
Assam,245,140
Bihar,60,100
Chhattisgarh,-40,-10
Goa,-234,-180
Gujarat,-290,40
Haryana,-170,210
Himachal Pradesh,-145,280
Jharkhand,40,60
Karnataka,-204,-240
Kerala,-170,-330
Madhya Pradesh,-150,20
Maharashtra,-230,-80
Manipur,280,90
Meghalaya,210,110
Mizoram,260,60
Nagaland,300,140
Odisha,40,-30
Punjab,-200,250
Rajasthan,-270,140
Sikkim,140,165
Tamil Nadu,-140,-310
Telangana,-120,-120
Tripura,230,70
Uttar Pradesh,-60,130
Uttarakhand,-100,230
West Bengal,120,45
Chandigarh,-200,235
Lakshadweep,-300,-310
Delhi,-145,190
Puducherry,-70,-270
Jammu And Kashmir,-200,330
Ladakh,-145,360
Andaman And Nicobar Islands,240,-330
Dadra And Nagar Haveli And Daman And Diu,-380,-75